reading_date,location,temperature_celsius,salinity_psu,date,survey_date,region,ph_level,dissolved_oxygen_mg_l,catch_date,area,dominant_species,catch_kg
,arabian sea,,,1970-01-01,,,,,2024.0,Arabian Sea,Indian Oil Sardine,7800.0
,arabian sea,,,1970-01-01,,,,,2024.0,Arabian Sea,Seer Fish,5500.0
,bay of bengal,,,1970-01-01,,,,,2024.0,Bay of Bengal,Hilsa Shad,4500.0
,bay of bengal,,,1970-01-01,,,,,2024.0,Bay of Bengal,Indian Mackerel,3200.0
,bay of bengal,,,1970-01-01,,,,,2024.0,Bay of Bengal,Hilsa Shad,4100.0
15-01-2024,bay of bengal,15.3,34.1,2024-01-15,15.01.2024,bay of bengal,8.1,8.5,,,,
,bay of bengal,,,2024-01-16,16.01.2024,bay of bengal,8.12,8.4,,,,
17-01-2024,bay of bengal,15.4,,2024-01-17,17.01.2024,bay of bengal,8.09,8.6,,,,
,arabian sea,,,2024-01-18,18.01.2024,arabian sea,8.15,,,,,
19-01-2024,arabian sea,,34.3,2024-01-19,19.01.2024,arabian sea,8.11,8.3,,,,
20-01-2024,arabian sea,16.2,34.1,2024-01-20,20.01.2024,arabian sea,BAD_DATA,8.4,,,,
,bay of bengal,,,2024-01-21,21.01.2024,bay of bengal,8.05,8.1,,,,
2024-01-18,arabian sea,16.1,34.2,,,,,8.2,,,,
2024-01-16,bay of bengal,15.5,34.0,,,,,,,,,
2024-01-21,bay of bengal,15.9,33.9,,,,,8.1,,,,
